T00|T01|T02|T03|T04|doc_id
0.004475740007525608|0.9822706594444455|0.004385284677880921|0.0044002642767448545|0.00446805159340308|30
0.45154704174281945|0.4878694659171213|0.02034186190753443|0.0201705704256599|0.020071060006864868|31
0.4473096929143758|0.013988206729182943|0.013745491054085119|0.23383195837321444|0.2911246509291417|32
0.23450625204255535|0.6147356044471832|0.021814006863423545|0.037745774009210344|0.09119836263762755|33
0.017215310855468215|0.01677582829670487|0.01671855020565064|0.9324009741581537|0.01688933648402245|34
0.06913724258239475|0.7268128021598436|0.0677949330887099|0.06830098053749484|0.06795404163155709|35
0.20818723037202908|0.5135325018127889|0.2746538668655225|0.0018002718872706632|0.001826129062388978|36
0.006802820369542172|0.07080655653857018|0.0067108669239442165|0.006767141247737676|0.9089126149202057|37
0.9646641491389922|0.00874441438758916|0.008763904538213645|0.00901465556951186|0.008812876365693325|38
0.13288132620021154|0.10993354563293017|0.46818049713736504|0.003511837921823793|0.2854927931076694|39
0.0505219428583084|0.7403496274101495|0.002028875913307636|0.13960309081755864|0.06749646300067583|40
0.28493207925138464|0.018347650903054083|0.01827287163828525|0.660075467738336|0.01837193046893995|41
0.8498045509563797|0.1276434346505135|0.00748681793424863|0.007477617114166768|0.007587579344691378|42
0.012405758754572059|0.012025719803149289|0.01182841232720351|0.01186338758704637|0.9518767215280287|43
0.9322959141891753|0.016869155229153394|0.016938957184683988|0.016814213022405763|0.017081760374581513|44
0.4971970576444234|0.2124325006598899|0.006382963968712448|0.006378709777704948|0.2776087679492694|45
0.2778375113473243|0.6671569965593331|0.018440112958183364|0.01827727846760398|0.018288100667555235|46
0.01282162870808954|0.012960477865177468|0.012677007970627522|0.012878565628219853|0.9486623198278855|47
0.562957024277303|0.025440570434808657|0.025274375102402675|0.02629398311043864|0.36003404707504716|48
0.9321588201652964|0.016831741396150592|0.01724011268879718|0.016782518026802334|0.016986807722953377|49
0.1363375766682021|0.008060382628954896|0.00810827537407127|0.32582150541961014|0.5216722599091617|50
0.2284709808877389|0.7098115946803703|0.006989895258545169|0.04755588562694705|0.0071716435463985975|51
0.652551316663568|0.021412303497161986|0.020984742767298503|0.02024882173926654|0.2848028153327049|52
0.7616054648836265|0.23471302792131948|0.0012301697658295167|0.0012234884213239803|0.00122784900790053|53
0.6610273572271026|0.014424331402577192|0.29554124588933783|0.014522305960092456|0.01448475952088985|54
0.006678605190321393|0.006629150005741109|0.006533950507473739|0.5898286056635791|0.39032968863288475|55
0.8531513815079926|0.13013438746781256|0.0012584762771027395|0.014221106585368135|0.0012346481617237846|56
0.48778990756572504|0.41446907493596047|0.08152168803728756|0.01506973998548988|0.001149589475536834|57
0.0033394697826478995|0.003313917223833131|0.003311602723894955|0.003364459110144966|0.986670551159479|58
0.7748948651638085|0.016981966511592273|0.17370427263089547|0.017138965825530532|0.0172799298681732|59
0.07912960953112744|0.001589092544517675|0.0015702966179117145|0.0015504831705518982|0.9161605181358914|60
0.1692803813547046|0.5228762286876215|0.04523400745780653|0.006586436893141273|0.25602294560672606|61
0.02615333194279066|0.896513088428793|0.025773834255191145|0.026099853502306328|0.02545989187091894|62
0.058435860284128116|0.23847045731870853|0.249022773133607|0.0035291678530726947|0.45054174141048364|63
0.6404118128558723|0.3276562930782424|0.010669791789719793|0.010575814794307376|0.010686287481857917|64
0.008147447785937942|0.1500301431069907|0.0077451681450541494|0.8261902204836694|0.007887020478347818|65
0.16305819460295984|0.0010142746316180984|0.0010244316540096768|0.6631523964889742|0.1717507026224383|66
0.025536060200701184|0.8982752156390371|0.025543363468362|0.02535276908403754|0.025292591607862243|67
0.977221987518829|0.005735398640684412|0.00563538360878487|0.005656300313219519|0.005750929918482312|68
0.010151006124156186|0.010192832008429076|0.010159108062538415|0.9592740132980965|0.010223040506779923|69
0.012569594471591151|0.01254028591184188|0.012524985735328254|0.012520563775248711|0.94984457010599|70
0.6364321348346897|0.2990581840139599|0.058996445680263826|0.0027346512373810283|0.002778584233705683|71
0.025090813119512993|0.025151596050108898|0.0251791742179227|0.8993098225447987|0.025268594067656698|72
0.9632108056549571|0.00933850573452788|0.009151037588512545|0.009156887365445673|0.009142763656556705|73
0.9843323220896926|0.0038207264011525656|0.0038009100878017583|0.003965638325638514|0.004080403095714584|74
0.3449196976933659|0.6358270276793184|0.006382695809284278|0.006542830403444378|0.006327748414587004|75
0.008414919773818781|0.008399435997850426|0.008358658409519158|0.6167023867375458|0.35812459908126576|76
0.9316532081822131|0.017405295396591382|0.017043978482132637|0.016914642794571288|0.016982875144491465|77
0.46761926900440615|0.16809554372817365|0.228859202116309|0.00565944205026604|0.12976654310084526|78
0.33065702616449894|0.015695285282198036|0.14538605493089962|0.1669730391767031|0.3412885944457004|79
0.010164517560335665|0.6568941248839919|0.010279357440823068|0.01010130098217711|0.31256069913267237|80
0.5613723160915175|0.3135598259864807|0.11174934124802331|0.006770779943833972|0.006547736730144553|81
0.8384717374690916|0.04103876929478161|0.040481687568629555|0.040000072759683765|0.04000773290781333|82
0.007686852928504226|0.9697274474569468|0.007502718125220026|0.007542317052604207|0.007540664436724705|83
0.5087843702126674|0.005320309675678928|0.0053358362082146765|0.47509270456478486|0.005466779338654103|84
0.5606535653419983|0.42273667077767096|0.0055235420049928995|0.005501985877136208|0.005584235998201606|85
0.020645742185866147|0.020376205337617682|0.02073323679718185|0.02025175548193198|0.9179930601974023|86
0.4402928303826967|0.539898292521538|0.006559308829492117|0.006584123076434794|0.006665445189838482|87
0.9515613014452285|0.01224397155759864|0.01201258042402037|0.0119327846870963|0.012249361886056196|88
0.9552256129736708|0.011260807460457314|0.011133009247174277|0.01122008119423141|0.011160489124466199|89
0.7350806897242778|0.02914123037292174|0.029130583336807132|0.02875759096219066|0.17788990560380258|90
0.15694834948746453|0.006827096353072634|0.15204017674851344|0.6773883989806974|0.006795978430251986|91
0.5372485125783392|0.4077466326962812|0.01826593888375884|0.018385827978170656|0.018353087863450128|92
0.5689567138159847|0.23877368599744644|0.1867419697225806|0.002758747312147502|0.002768883151840785|93
0.6951753155752264|0.13605601134355116|0.002733603837916267|0.0027601604513428674|0.16327490879196313|94
0.9719841804772164|0.007022876675203961|0.00699411316899574|0.007008159017881214|0.006990670660702654|95
0.6114947970918955|0.010300098299448624|0.17907243650339924|0.1889818940633286|0.010150774041927923|96
0.00879216847819551|0.834603862068008|0.13868418886153955|0.008804586999578411|0.009115193592678547|97
0.23472743028397966|0.0017366022784575253|0.0017906824259134935|0.5894722721183409|0.17227301289330843|98
0.009219171035399543|0.009227732414957569|0.00916960092116782|0.9630719659464596|0.00931152968201546|99
0.8287990232036638|0.010682517110831501|0.010664964602013868|0.13920431129471963|0.010649183788771424|100
0.11569480438635633|0.20920924497501492|0.0047034556993826625|0.004682826702183824|0.6657096682370623|101
0.7413849630549565|0.016832192963026026|0.20834524939148036|0.016726086050343064|0.016711508540193903|102
0.21238535286977506|0.12607367778054632|0.004749558645372567|0.31069961477885544|0.3460917959254507|103
0.5222463511549627|0.1600000872314795|0.298252269767889|0.009762386702711257|0.00973890514295766|104
0.05006091406596256|0.4971476400213795|0.05384317248169212|0.34831042915316274|0.05063784427780303|105
0.014707138918413125|0.7728409680412812|0.01439293019567909|0.18357649951286542|0.014482463331761158|106
0.307081128863183|0.0033163320433514535|0.003223008292408077|0.34722929379102946|0.33915023701002806|107
