doc_id|term_str|n|tfidf|sentiment|sentiment_weighted_count
8|useless|3|30.66258590000261|-1.0|-3.0
8|wisdom|5|44.78913780416872|1.0|5.0
9|burnt|1|10.5427900615549|-1.0|-1.0
9|leave|1|5.8013230751537535|-1.0|-1.0
10|good|1|2.8650704199138914|1.0|1.0
10|shit|1|8.019228105497888|-1.0|-1.0
10|solid|1|6.413507044609934|1.0|1.0
11|lethal|2|19.0855801231098|-1.0|-2.0
11|manufacturer|1|8.957827560833744|1.0|1.0
11|technology|1|5.684809066427328|1.0|1.0
12|powerful|1|5.565510138054983|1.0|1.0
12|small|1|3.5885937511680246|-1.0|-1.0
12|unpopular|1|9.957827560833744|-1.0|-1.0
13|abandoned|1|9.735435139497296|-1.0|-1.0
13|cheap|2|13.74072943916681|-1.0|-2.0
13|damn|1|9.372865060112588|-1.0|-1.0
13|efficient|1|6.257387842692652|1.0|1.0
13|ethical|1|8.45532722030456|1.0|1.0
13|friendly|1|8.5427900615549|1.0|1.0
13|hurting|1|9.083358442917604|-1.0|-1.0
13|management|1|6.185238056936816|1.0|1.0
13|money|1|3.209634711244284|1.0|1.0
13|moral|1|8.5427900615549|1.0|1.0
13|pretty|2|11.063125612263292|1.0|2.0
13|production|2|12.953401742194256|1.0|2.0
13|responsible|1|5.942877219367772|1.0|1.0
13|screaming|1|11.5427900615549|-1.0|-1.0
13|sense|1|4.434265604776731|1.0|1.0
13|slander|1|11.5427900615549|-1.0|-1.0
13|trash|4|36.333433771670414|-1.0|-4.0
14|force|1|5.48750762605371|-1.0|-1.0
14|tower|1|8.635899465946382|1.0|1.0
14|weight|1|5.774605736777974|0.0|0.0
15|addiction|1|8.45532722030456|-1.0|-1.0
15|compulsion|1|12.5427900615549|-1.0|-1.0
15|gambling|1|9.5427900615549|-1.0|-1.0
15|negative|2|11.445222198279424|-1.0|-2.0
15|pornography|1|10.220861966667538|-1.0|-1.0
15|survive|1|6.185238056936816|1.0|1.0
17|attraction|1|9.5427900615549|1.0|1.0
17|incest|1|12.5427900615549|-1.0|-1.0
17|sex|1|6.520422248526446|1.0|1.0
18|latent|1|12.5427900615549|-1.0|-1.0
