term_str|n|max_pos|max_pos_group|p|i|df|dfidf|porter_stem|stop|sentiment
intuition|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|intuit|False|1.0
intuitive|6|JJ|NOUN|6.915286586764372e-06|17.141779527820237|6|102.85067716692144|intuit|False|1.0
invade|4|VB|VERB|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|invad|False|-1.0
invader|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|invad|False|-1.0
invalidate|1|VB|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|invalid|False|-1.0
invasion|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|6|102.85067716692144|invas|False|-1.0
inventor|7|NN|NOUN|8.0678343512251e-06|16.91938710648379|6|101.51632263890274|inventor|False|1.0
investigate|13|VB|VERB|1.4983120937989471e-05|16.0263023104003|13|208.34193003520392|investig|False|1.0
invite|1|VB|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|invit|False|1.0
inviting|1|VBG|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|invit|False|1.0
involuntary|4|JJ|ADJ|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|involuntari|False|-1.0
iron|26|NN|NOUN|2.9966241875978943e-05|15.026302310400302|21|315.55234851840635|iron|False|1.0
irrational|5|JJ|ADJ|5.762738822303643e-06|17.404813933654033|5|87.02406966827016|irrat|False|-1.0
irregular|18|JJ|ADJ|2.074585976029312e-05|15.55681702709908|15|233.35225540648625|irregular|False|-1.0
irregularity|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|2|35.45348405708279|irregular|False|-1.0
irrelevant|4|JJ|ADJ|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|irrelev|False|-1.0
irreparable|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|1|18.726742028541395|irrepar|False|-1.0
irresponsible|4|JJ|ADJ|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|irrespons|False|-1.0
irritability|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|irrit|False|-1.0
irritable|5|JJ|ADJ|5.762738822303643e-06|17.404813933654033|5|87.02406966827016|irrit|False|-1.0
irritating|7|VBG|VERB|8.0678343512251e-06|16.91938710648379|7|118.43570974538652|irrit|False|-1.0
irritation|57|NN|NOUN|6.569522257426154e-05|13.893852014376652|46|639.1171926613259|irrit|False|-1.0
isolated|11|VBN|VERB|1.2678025409068016e-05|16.2673104099041|9|146.40579368913689|isol|False|-1.0
isolation|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|8|133.81393622833116|isol|False|-1.0
jail|9|NN|NOUN|1.0372929880146558e-05|16.556817027099083|6|99.34090216259447|jail|False|-1.0
jam|5|NN|NOUN|5.762738822303643e-06|17.404813933654033|5|87.02406966827016|jam|False|1.0
jargon|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|jargon|False|-1.0
jealousy|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|jealousi|False|-1.0
jeopardize|1|VB|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|jeopard|False|-1.0
jeopardy|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|jeopardi|False|-1.0
job|250|NN|NOUN|0.0002881369411151|11.760957743879306|181|2128.7333516421545|job|False|1.0
john|42|NNP|NOUN|4.840700610735061e-05|14.334424605762631|30|430.032738172879|john|False|-1.0
join|33|VB|VERB|3.803407622720405e-05|14.68234790918294|30|440.4704372754882|join|False|1.0
joined|11|VBN|VERB|1.2678025409068016e-05|16.2673104099041|9|146.40579368913689|join|False|1.0
joke|52|NN|NOUN|5.993248375195789e-05|14.026302310400302|33|462.86797624321|joke|False|-1.0
joking|3|VBG|VERB|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|joke|False|1.0
journalist|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|3|51.42533858346072|journalist|False|1.0
journey|7|NN|NOUN|8.0678343512251e-06|16.91938710648379|6|101.51632263890274|journey|False|1.0
joy|3|NN|NOUN|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|joy|False|1.0
joyful|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|joy|False|1.0
judicial|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|judici|False|1.0
jump|30|NN|VERB|3.457643293382186e-05|14.819851432932875|25|370.4962858233219|jump|False|1.0
junk|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|8|133.81393622833116|junk|False|-1.0
justice|18|NN|NOUN|2.074585976029312e-05|15.55681702709908|15|233.35225540648625|justic|False|1.0
justification|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|justif|False|1.0
ken|1|NNP|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|ken|False|1.0
kick|16|VB|VERB|1.8440764231371657e-05|15.726742028541397|13|204.44764637103813|kick|False|-1.0
kill|90|VB|VERB|0.0001037292988014|13.23488893221172|66|873.5026695259735|kill|False|-1.0
killing|29|VBG|VERB|3.342388516936113e-05|14.868761033413822|24|356.85026480193176|kill|False|-1.0
kind|344|NN|NOUN|0.0003964764309744|11.300477273839295|319|3604.852250354736|kind|False|1.0
kindness|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|7|117.08719419978976|kind|False|1.0
king|33|NN|NOUN|3.803407622720405e-05|14.68234790918294|24|352.3763498203906|king|False|1.0
kiss|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|2|35.45348405708279|kiss|False|1.0
kitten|1|VB|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|kitten|False|1.0
knight|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|knight|False|1.0
knowing|32|VBG|VERB|3.6881528462743314e-05|14.726742028541397|31|456.52900288478327|know|False|1.0
knowledge|81|NN|NOUN|9.335636892131902e-05|13.386892025656769|64|856.7610896420332|knowledg|False|1.0
labor|53|NN|NOUN|6.108503151641861e-05|13.998821573978194|42|587.9505061070842|labor|False|1.0
lack|48|NN|NOUN|5.5322292694114974e-05|14.14177952782024|45|636.3800787519108|lack|False|-1.0
lacking|3|VBG|VERB|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|lack|False|-1.0
laden|14|NNP|NOUN|1.61356687024502e-05|15.91938710648379|8|127.35509685187031|laden|False|-1.0
lag|7|NN|NOUN|8.0678343512251e-06|16.91938710648379|6|101.51632263890274|lag|False|-1.0
land|177|NN|NOUN|0.0002040009543095|12.259136478458396|113|1385.2824220657988|land|False|1.0
landed|2|VBN|VERB|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|land|False|1.0
lapse|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|laps|False|-1.0
larceny|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|3|51.42533858346072|larceni|False|-1.0
laser|26|NN|NOUN|2.9966241875978943e-05|15.026302310400302|13|195.34193003520392|laser|False|1.0
lash|1|VB|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lash|False|-1.0
late|61|JJ|ADJ|7.030541363210445e-05|13.796004690978508|53|731.1882486218609|late|False|-1.0
latent|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|latent|False|-1.0
laugh|13|VBP|VERB|1.4983120937989471e-05|16.0263023104003|8|128.2104184832024|laugh|False|1.0
laughing|10|VBG|VERB|1.1525477644607286e-05|16.404813933654033|5|82.02406966827016|laugh|False|1.0
laughter|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|3|51.42533858346072|laughter|False|1.0
launch|21|VB|VERB|2.4203503053675303e-05|15.334424605762631|15|230.0163690864395|launch|False|1.0
lava|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lava|False|-1.0
lawful|20|JJ|ADJ|2.305095528921457e-05|15.404813933654031|4|61.619255734616125|law|False|1.0
lawsuit|9|NN|NOUN|1.0372929880146558e-05|16.556817027099083|9|149.01135324389173|lawsuit|False|-1.0
lawyer|26|NN|NOUN|2.9966241875978943e-05|15.026302310400302|19|285.4997438976057|lawyer|False|-1.0
lax|1|NNP|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lax|False|-1.0
laxative|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|lax|False|-1.0
lazy|12|JJ|ADJ|1.3830573173528744e-05|16.141779527820237|11|177.5595748060226|lazi|False|-1.0
lead|270|VB|VERB|0.0003111878964043|11.649926431490565|195|2271.73565414066|lead|False|1.0
leader|42|NN|NOUN|4.840700610735061e-05|14.334424605762631|34|487.3704365959295|leader|False|1.0
league|20|NN|NOUN|2.305095528921457e-05|15.404813933654031|15|231.07220900481047|leagu|False|1.0
leak|8|VB|VERB|9.220382115685828e-06|16.726742028541395|7|117.08719419978976|leak|False|-1.0
learn|166|VB|VERB|0.0001913229289004|12.35170259719447|131|1618.0730402324757|learn|False|1.0
learning|170|NN|NOUN|0.0001959331199583|12.317351092403692|102|1256.3698114251763|learn|False|1.0
leave|116|VB|VERB|0.0001336955406774|12.868761033413822|107|1376.957430575279|leav|False|-1.0
lecturer|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lectur|False|1.0
legal|217|JJ|ADJ|0.0002501028648879|11.965190796096914|151|1806.743810210634|legal|False|1.0
legalized|7|VBN|VERB|8.0678343512251e-06|16.91938710648379|7|118.43570974538652|legal|False|1.0
legendary|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|legendari|False|1.0
leisurely|1|RB|ADV|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|leisur|False|1.0
lemon|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|4|68.56711811128095|lemon|False|-1.0
lenient|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lenient|False|1.0
lessen|2|VB|VERB|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|lessen|False|-1.0
lesser|12|JJR|ADJ|1.3830573173528744e-05|16.141779527820237|11|177.5595748060226|lesser|False|-1.0
lesson|5|NN|NOUN|5.762738822303643e-06|17.404813933654033|5|87.02406966827016|lesson|False|1.0
lethal|16|JJ|ADJ|1.8440764231371657e-05|15.726742028541397|8|125.81393622833116|lethal|False|-1.0
lethargy|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lethargi|False|-1.0
leukemia|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|leukemia|False|-1.0
level|278|NN|NOUN|0.00032040827852|11.607800955817886|199|2309.9523902077594|level|False|1.0
leverage|10|NN|NOUN|1.1525477644607286e-05|16.404813933654033|9|147.6433254028863|leverag|False|1.0
